GRB Name,z,T90,logFx,logFx_err,S,S_err,log(Ta/1000),logTa_err,log(Lx),logLx_err,logEiso,logEiso_err,Alpha_1,alpha_1_err,Alpha_2,alpha_2_err
110709B,1.65,55.6,_11.76,0.15,94,2,1.65,0.1,_0.44,0.15,_0.49,0.01,0.87,0.03,2,0.1
110915A,1.1,78.76,_10.64,0.26,57,2,0.42,0.22,0.26,0.26,_1.08,0.02,0.78,0.04,1.47,0.07
111129A,0.05,7.6,_10.77,0.2,1.8,0.4,0.33,0.25,_2.93,0.2,_4.91,0.1,0.27,0.1,1.32,0.07
120116A,5.95,41,_10.89,0.16,29,1,_0.51,0.45,1.8,0.16,_0.35,0.01,_0.11,0.23,1.1,0.14
120308A,1.33,60.6,_11.26,0.11,12,1,0.8,0.07,_0.35,0.11,_1.36,0.04,0.56,0.04,2.61,0.2
120324A,1.87,118,_10.51,0.13,101,3,0.38,0.16,0.92,0.13,_0.36,0.01,0.2,0.07,1.4,0.08
120701A,3.99,13.8,_11.81,0.35,14,1,0.32,0.14,0.42,0.35,_1.02,0.03,0.85,0.04,1.76,0.18
120703A,4,25.2,_10.94,0.36,35,1,0.09,0.33,1.26,0.36,_0.3,0.01,0.5,0.06,1.31,0.07
121031A,0.96,226,_11.06,0.38,78,2,1.16,0.22,_0.28,0.38,_0.87,0.01,0.39,0.08,1.55,0.34
121123A,7.83,317,_11.2,0.06,150,10,0.09,0.17,1.62,0.06,0.13,0.03,_0.35,0.3,1.49,0.15
121217A,1.23,778,_10.89,0.08,62,3,0.91,0.11,0.05,0.08,_0.77,0.02,0.12,0.08,1.52,0.07
130327A,2.27,9,_12.26,0.16,2.3,0.5,0.92,0.14,_0.51,0.16,_1.41,0.09,0.05,0.06,1.36,0.5
130504A,0.2,50,_10.6,0.22,10,1,0.47,0.23,_1.55,0.22,_3.14,0.04,0.27,0.16,1.78,0.22
130528A,14.18,59.4,_10.27,0.12,51,2,_1.28,0.21,3.09,0.12,0.27,0.02,_0.14,0.25,1.13,0.04
130803A,3.33,44,_11.05,0.43,15,1,_0.18,0.6,1.23,0.43,_0.65,0.03,0.44,0.11,1.03,0.1
131002A,3.38,55.59,_10.54,0.14,6.4,0.8,_0.84,0.52,1.53,0.14,_1.05,0.05,_0.05,0.34,1.11,0.1
140108A,1.12,94,_10.57,0.18,70,2,0.7,0.19,0.26,0.18,_0.76,0.01,0.36,0.1,1.64,0.15
140323A,3.52,104.9,_10.74,0.27,160,0,0.47,0.2,1.3,0.27,0.19,0,0.54,0.09,2,0.22
140709A,1.57,98.6,_11.12,0.23,53,2,0.89,0.22,0.05,0.23,_0.79,0.02,0.44,0.08,1.59,0.15
140817A,8.51,244,_11.76,0.27,46,2,0.68,0.12,1.05,0.27,0.14,0.02,0.71,0.1,2.65,0.39
140916A,0.14,80.1,_11.28,0.05,17,3,1.53,0.06,_2.53,0.05,_3.07,0.08,_0.2,0.08,2.3,0.18
141017A,1.59,55.7,_10.74,0.19,31,1,0.18,0.29,0.49,0.19,_1.09,0.01,0.16,0.12,1.34,0.11
150201A,0.004,26.1,_9.13,0.03,7.8,1.2,_0.43,0.07,_3.64,0.03,_6.63,0.07,_0.15,0.12,1.3,0.02
150202A,2.16,25.7,_10.95,0.29,6.1,0.7,_0.22,0.24,0.61,0.29,_1.41,0.05,0.46,0.1,1.64,0.22
150203A,6.79,25.8,_11.66,0.28,9.1,0.6,0.22,0.18,1.14,0.28,_0.28,0.03,0.19,0.15,2.47,0.9
150428B,3.72,130.9,_11.84,0.2,37,3,0.83,0.17,0.22,0.2,_0.65,0.04,0.09,0.08,1.27,0.15
150430A,5.04,107.1,_10.47,0.13,69,5,_0.41,0.15,2.05,0.13,0.05,0.03,0.17,0.18,1.97,0.14
160119A,11.25,116,_11.11,0.09,71,2,_0.1,0.29,2.26,0.09,0.66,0.01,_0.2,0.36,1.45,0.21
160504A,1.79,53.9,_11.49,0.13,7.3,0.9,0.65,0.16,_0.14,0.13,_1.28,0.05,0.08,0.07,1.52,0.18
160607A,2.32,33.4,_10.12,0.13,210,0,0.11,0.12,1.48,0.13,_0.01,0,0.62,0.035,1.52,0.04
160630A,0.73,29.5,_10.31,0.09,12,1,_0.08,0.16,0.03,0.09,_1.93,0.04,_0.03,0.12,1.25,0.07
160824A,0.71,99.3,_10.97,0.16,26,2,0.92,0.09,_0.62,0.16,_1.54,0.03,0.39,0.05,2.17,0.32
